uid,TARGET
CMO22835242,0.11732921651871864
MRJ34316727,0.17142857142857143
UAV00534378,0.10792580101180438
IPQ08190402,0.17142857142857143
NQN84331006,0.06627620221948213
LPS50307411,0.0943099035243158
TSM49103703,0.17142857142857143
FEX47174606,0.11732921651871864
MVK91941657,0.14243759177679882
VTQ11003334,0.09798471160528145
YMO94301439,0.14243759177679882
ENC42258574,0.23333333333333334
TYX48643986,0.0943099035243158
SEL97950710,0.11615541922290389
SGJ12629193,0.11732921651871864
HWI76292564,0.11732921651871864
IOG85596405,0.06627620221948213
KDG11302428,0.07303370786516854
EOM81277120,0.10792580101180438
DYB92604092,0.0943099035243158
RWY12084745,0.11732921651871864
UUU26206724,0.11615541922290389
ZTM93039695,0.0943099035243158
ZDO65341721,0.09238249594813615
STL15291541,0.0943099035243158
IXK03609213,0.0943099035243158
QMA11667107,0.09798471160528145
PVV95454908,0.14243759177679882
RWG74718646,0.0943099035243158
NEF62392489,0.10792580101180438
IIG49709608,0.0943099035243158
TMF41719023,0.10792580101180438
QOQ65655625,0.14243759177679882
WLG97422975,0.11615541922290389
IAV85602187,0.07894736842105263
OIA12400675,0.11615541922290389
OJZ00217342,0.09798471160528145
XJJ31756224,0.0943099035243158
VLT94992340,0.11615541922290389
GGC37251085,0.0943099035243158
KVN06331593,0.11615541922290389
BZJ22232856,0.01669449081803005
QMJ55281016,0.10792580101180438
JSK35932732,0.0943099035243158
YFC22483514,0.14243759177679882
DBD72761763,0.09798471160528145
IZM91855839,0.09798471160528145
MYD55811871,0.10792580101180438
TEL17280724,0.0875
ORA49608892,0.06627620221948213
YDZ75672758,0.11615541922290389
JOT20330006,0.09238249594813615
PRV58911915,0.0943099035243158
MVQ41213101,0.06627620221948213
HZI64194348,0.0943099035243158
KWR43068016,0.11615541922290389
CPK03598208,0.09798471160528145
URB01976667,0.11615541922290389
YZX61048645,0.09798471160528145
QBN10946632,0.11732921651871864
JUL36605215,0.11732921651871864
RKU32315301,0.11615541922290389
